QuarterEnd,X1_Scrap_Price,X2_Electricity_Price,X3_Natural_Gas_Price,X4_Diesel_Price,X5_Rail_Price,X7_Hourly_Wage,X10_Graphite_Price,X13_PPI_All_Commodities,X8_US_Scrap_Exports,X9_US_Dollar_Index,X6_Disaster_Cost_Sum,X6_Disaster_Event_Count,X11_Economic_Policy_Uncertainty
1966-12-31,,,,,,,27.399999999999995,33.333333333333336,,,0.0,0.0,55.650872548421226
1967-03-31,,,,,,,27.399999999999995,33.36666666666667,,,0.0,0.0,55.27580134073893
1967-06-30,,,,,,,27.399999999999995,33.300000000000004,,,0.0,0.0,56.72290293375651
1967-09-30,,,,,,,27.399999999999995,33.43333333333333,,,0.0,0.0,42.80307133992513
1967-12-31,,,,,,,27.399999999999995,33.5,,,0.0,0.0,64.98959477742513
1968-03-31,,,,,,,27.5,33.96666666666667,,,0.0,0.0,86.04197184244792
1968-06-30,,,,,,,27.600000000000005,34.166666666666664,,,0.0,0.0,63.646645863850914
1968-09-30,,,,,,,27.600000000000005,34.300000000000004,,,0.0,0.0,50.41441090901693
1968-12-31,,,,,,,27.600000000000005,34.5,,,0.0,0.0,58.950459798177086
1969-03-31,,,,,,,27.600000000000005,35.0,,,0.0,0.0,60.853258768717446
1969-06-30,,,,,,,27.8,35.5,,,0.0,0.0,51.75552495320638
1969-09-30,,,,,,,28.5,35.766666666666666,,,0.0,0.0,53.966322580973305
1969-12-31,,,,,,,28.53333333333333,36.1,,,0.0,0.0,61.55209477742513
1970-03-31,,,,,,,28.766666666666666,36.63333333333333,,,0.0,0.0,46.41607157389323
1970-06-30,,,,,,,28.766666666666666,36.833333333333336,,,0.0,0.0,62.48381805419922
1970-09-30,,,,,,,29.46666666666667,37.03333333333333,,,0.0,0.0,50.63697306315104
1970-12-31,,,,,,,30.7,37.1,,,0.0,0.0,58.73579406738281
1971-03-31,,,,,,,30.833333333333332,37.6,,,0.0,0.0,61.42205683390299
1971-06-30,,,,,,,31.0,38.06666666666667,,,0.0,0.0,60.93212000528971
1971-09-30,,,,,,,31.0,38.36666666666667,,,0.0,0.0,81.94384256998698
1971-12-31,,,,,,,31.0,38.4,,,0.0,0.0,89.01699829101562
1972-03-31,,,,,,,31.0,39.06666666666667,,,0.0,0.0,66.39518610636394
1972-06-30,,,,,,,31.066666666666666,39.5,,,0.0,0.0,62.78052647908529
1972-09-30,,,,,,,31.100000000000005,40.1,,,0.0,0.0,63.006890614827476
1972-12-31,,,,,,,31.100000000000005,40.5,,,0.0,0.0,65.90679423014323
1973-03-31,,,,,,,32.199999999999996,42.46666666666667,,,0.0,0.0,85.85620371500652
1973-06-30,,,,,,,32.8,44.53333333333333,,,0.0,0.0,84.21382904052734
1973-09-30,,,,,,,32.8,46.36666666666667,,,0.0,0.0,80.91493860880533
1973-12-31,,,,,,,32.8,46.73333333333333,,,0.0,0.0,105.81950378417969
1974-03-31,,,,,,,33.23333333333333,49.86666666666667,,,0.0,0.0,109.47708892822266
1974-06-30,,,,,,,36.06666666666667,51.6,,,0.0,0.0,91.38011678059895
1974-09-30,,,,,,,41.300000000000004,55.26666666666667,,,0.0,0.0,94.0083236694336
1974-12-31,,,,,,,47.13333333333333,57.199999999999996,,,0.0,0.0,101.83142344156902
1975-03-31,,,,,,,51.36666666666667,57.166666666666664,,,0.0,0.0,87.1716537475586
1975-06-30,,,,,,,51.5,57.800000000000004,,,0.0,0.0,80.4616216023763
1975-09-30,,,,,,,51.5,59.03333333333333,,,0.0,0.0,82.99344126383464
1975-12-31,,,,,,,54.699999999999996,59.666666666666664,,,0.0,0.0,100.80101013183594
1976-03-31,,,,,,,55.70000000000001,59.93333333333334,,,0.0,0.0,75.63450368245442
1976-06-30,,,,,,,55.76666666666667,60.86666666666667,,,0.0,0.0,69.00747299194336
1976-09-30,,,,,,,56.06666666666666,61.6,,,0.0,0.0,69.55173873901367
1976-12-31,,,,,,,57.199999999999996,62.13333333333333,,,0.0,0.0,83.28090413411458
