"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2021","1,484.50","1,620.50","1,780.00","1,441.00","0.71K","-17.53%"
"01/01/2021","1,800.00","1,523.00","1,855.00","1,400.00","3.26K","19.96%"
"12/01/2020","1,500.50","1,554.50","1,639.00","1,475.00","270.57K","1.21%"
"11/01/2020","1,482.50","1,306.00","1,565.50","1,252.50","2.62K","11.09%"
"10/01/2020","1,334.50","1,315.00","1,350.00","1,269.00","0.12K","1.44%"
"09/01/2020","1,315.50","1,230.00","1,391.00","1,190.00","0.92K","7.13%"
"08/01/2020","1,228.00","1,254.00","1,254.00","1,164.50","269.18K","-4.55%"
"07/01/2020","1,286.50","1,255.50","1,356.50","1,255.50","0.02K","3.29%"
"06/01/2020","1,245.50","1,250.00","1,266.00","1,238.50","0.01K","5.11%"
"05/01/2020","1,185.00","1,249.50","1,259.50","1,185.00","1.97K","-4.01%"
"04/01/2020","1,234.50","1,250.00","1,288.00","1,187.00","41.54K","-7.08%"
"03/01/2020","1,328.50","1,379.50","1,391.00","1,207.50","0.01K","2.83%"
"02/01/2020","1,292.00","1,287.00","1,292.00","1,287.00","0.00K","1.49%"
"01/01/2020","1,273.00","1,220.00","1,290.00","1,135.00","8.14K","5.47%"
"12/01/2019","1,207.00","1,325.00","1,325.00","1,194.50","229.89K","-8.49%"
"11/01/2019","1,319.00","1,260.00","1,356.50","1,260.00","0.07K","1.77%"
"10/01/2019","1,296.00","1,279.00","1,313.00","1,279.00","0.00K","-0.27%"
"09/01/2019","1,299.50","1,470.00","1,700.00","1,276.00","0.93K","-8.45%"
"08/01/2019","1,419.50","1,392.00","1,438.00","1,389.00","151.88K","-3.20%"
"07/01/2019","1,466.50","1,428.00","1,497.50","1,358.00","0.55K","1.77%"
"06/01/2019","1,441.00","1,363.00","1,513.50","1,363.00","1.06K","12.05%"
"05/01/2019","1,286.00","1,166.00","1,286.00","1,135.00","0.60K","6.46%"
"04/01/2019","1,208.00","1,230.50","1,237.00","1,160.00","58.51K","-4.01%"
"03/01/2019","1,258.50","1,263.00","1,337.50","1,258.50","0.00K","-4.73%"
"02/01/2019","1,321.00","1,321.00","1,321.00","1,321.00","","-0.11%"
"01/01/2019","1,322.50","1,440.00","1,490.50","1,322.50","2.35K","-8.48%"
"12/01/2018","1,445.00","1,435.00","1,455.00","1,400.00","128.99K","4.71%"
"11/01/2018","1,380.00","1,380.00","1,409.00","1,240.50","0.07K","-3.77%"
"10/01/2018","1,434.00","1,326.50","1,465.00","1,326.50","0.01K","7.78%"
"09/01/2018","1,330.50","1,345.00","1,391.00","1,259.00","2.58K","1.14%"
"08/01/2018","1,315.50","1,187.00","1,349.00","1,179.50","91.35K","6.73%"
"07/01/2018","1,232.50","1,241.50","1,249.00","1,162.00","0.02K","-2.57%"
"06/01/2018","1,265.00","1,214.50","1,265.00","1,214.50","0.01K","-0.63%"
"05/01/2018","1,273.00","1,116.00","1,317.50","1,000.50","0.98K","11.18%"
"04/01/2018","1,145.00","1,317.50","1,317.50","1,103.00","56.02K","-13.09%"
"03/01/2018","1,317.50","1,272.50","1,418.00","1,272.50","0.00K","1.27%"
"02/01/2018","1,301.00","1,400.00","1,400.00","1,400.00","0.00K","-13.38%"
"01/01/2018","1,502.00","1,310.50","1,523.00","1,251.00","1.65K","14.96%"
"12/01/2017","1,306.50","1,286.00","1,376.00","1,263.50","48.63K","5.96%"
"11/01/2017","1,233.00","1,233.00","1,233.00","1,233.00","","10.83%"
"10/01/2017","1,112.50","963.00","1,030.50","963.00","0.00K","2.82%"
"09/01/2017","1,082.00","1,161.00","1,337.50","1,092.00","2.45K","-9.04%"
"08/01/2017","1,189.50","1,330.00","1,344.50","1,161.50","62.66K","-9.44%"
"07/01/2017","1,313.50","1,348.50","1,374.00","1,156.00","0.01K","28.90%"
"06/01/2017","1,019.00","1,055.50","1,055.50","1,015.00","0.01K","-11.39%"
"05/01/2017","1,150.00","1,255.50","1,340.00","1,070.50","0.81K","-9.59%"
"04/01/2017","1,272.00","1,278.00","1,300.00","1,207.00","13.62K","-8.92%"
"03/01/2017","1,396.50","1,284.50","1,457.50","1,284.50","0.00K","-12.17%"
"02/01/2017","1,590.00","1,490.50","1,624.50","1,490.50","0.00K","-3.81%"
"01/01/2017","1,653.00","1,620.00","1,720.00","1,435.50","1.23K","5.29%"
"12/01/2016","1,570.00","1,574.00","1,620.00","1,512.00","28.07K","-9.69%"
"11/01/2016","1,738.50","1,342.00","1,904.50","1,342.00","0.03K","38.58%"
"10/01/2016","1,254.50","1,030.00","1,273.50","1,030.00","0.03K","36.36%"
"09/01/2016","920.00","750.50","869.50","722.00","1.28K","20.10%"
"08/01/2016","766.00","810.00","812.00","739.50","137.79K","-1.79%"
"07/01/2016","780.00","780.00","780.00","780.00","","18.63%"
"06/01/2016","657.50","657.50","657.50","657.50","","5.28%"
"05/01/2016","624.50","610.00","677.50","584.00","3.10K","-0.16%"
"04/01/2016","625.50","611.00","682.00","604.50","87.78K","6.74%"
"03/01/2016","586.00","586.00","586.00","586.00","","3.81%"
"02/01/2016","564.50","564.50","564.50","564.50","","-7.61%"
"01/01/2016","611.00","625.00","660.00","612.00","1.38K","-1.13%"
"12/01/2015","618.00","602.50","623.00","601.00","29.75K","6.92%"
"11/01/2015","578.00","579.00","579.00","578.00","0.00K","-3.10%"
"10/01/2015","596.50","596.50","596.50","596.50","","1.19%"
"09/01/2015","589.50","550.50","648.00","550.00","0.97K","5.65%"
"08/01/2015","558.00","623.50","625.00","543.00","31.36K","-15.52%"
"07/01/2015","660.50","660.50","660.50","660.50","","-2.87%"
"06/01/2015","680.00","720.50","734.50","680.00","0.01K","-0.22%"
"05/01/2015","681.50","710.50","750.00","666.00","10.56K","-4.08%"
"04/01/2015","710.50","710.00","720.00","695.00","56.22K","3.12%"
"03/01/2015","689.00","716.00","716.00","689.00","0.00K","-10.87%"
"02/01/2015","773.00","773.00","773.00","773.00","","8.72%"
"01/01/2015","711.00","809.00","816.00","782.00","2.86K","-12.00%"
"12/01/2014","808.00","804.00","814.00","766.00","57.50K","7.73%"
"11/01/2014","750.00","750.00","750.00","750.00","0.00K","-2.98%"
"10/01/2014","773.00","773.00","773.00","773.00","0.00K","-0.26%"
"09/01/2014","775.00","775.00","823.00","705.00","2.87K","5.73%"
"08/01/2014","733.00","717.00","749.00","715.00","35.38K","0.69%"
"07/01/2014","728.00","758.00","793.00","718.00","0.02K","-9.68%"
"06/01/2014","806.00","821.00","821.00","806.00","0.01K","5.36%"
"05/01/2014","765.00","727.00","820.00","727.00","0.25K","-1.03%"
"04/01/2014","773.00","823.00","826.00","741.00","9.12K","-9.59%"
"03/01/2014","855.00","830.00","863.00","794.00","0.01K","0.35%"
"02/01/2014","852.00","852.00","852.00","852.00","0.00K","-2.29%"
"01/01/2014","872.00","959.00","996.00","872.00","5.56K","-9.92%"
"12/01/2013","968.00","954.00","1,049.00","950.00","52.12K","-4.54%"
"11/01/2013","1,014.00","946.00","1,109.00","946.00","0.19K","0.80%"
"10/01/2013","1,006.00","960.00","1,036.00","950.00","0.31K","2.03%"
"09/01/2013","986.00","950.00","1,035.00","945.00","1.11K","3.03%"
"08/01/2013","957.00","1,022.00","1,040.00","938.00","6.44K","-8.68%"
"07/01/2013","1,048.00","932.00","1,048.00","932.00","0.02K","5.75%"
"06/01/2013","991.00","1,043.00","1,060.00","960.00","0.04K","-8.16%"
"05/01/2013","1,079.00","1,087.00","1,110.00","1,061.00","0.01K","-2.62%"
"04/01/2013","1,108.00","1,215.00","1,221.00","1,096.00","0.36K","-9.85%"
