"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2018","67.75","67.75","67.75","67.75","2.30K","4.88%"
"01/06/2018","64.60","64.60","64.60","64.60","0.09K","-0.32%"
"01/05/2018","64.81","64.81","64.81","64.81","0.70K","-0.90%"
"01/04/2018","65.40","65.40","65.40","65.40","0.32K","2.52%"
"01/03/2018","63.79","63.79","63.79","63.79","1.39K","-17.32%"
"01/02/2018","77.15","77.15","77.15","77.15","0.19K","8.10%"
"01/01/2018","71.37","71.37","71.37","71.37","0.22K","-0.53%"
"01/12/2017","71.75","71.75","71.75","71.75","0.48K","5.22%"
"01/11/2017","68.19","62.33","64.65","61.50","0.65K","16.68%"
"01/10/2017","58.44","61.40","61.74","61.40","0.48K","-5.08%"
"01/09/2017","61.57","61.57","61.57","61.57","0.40K","-17.38%"
"01/08/2017","74.52","74.52","74.52","74.52","0.99K","4.19%"
"01/07/2017","71.52","71.52","71.52","71.52","0.21K","15.78%"
"01/06/2017","61.77","54.81","61.55","54.81","0.91K","12.51%"
"01/05/2017","54.90","54.90","54.90","54.90","3.15K","-18.06%"
"01/04/2017","67.00","67.00","67.00","67.00","1.39K","-12.34%"
"01/03/2017","76.43","83.69","84.37","75.80","1.25K","-9.98%"
"01/02/2017","84.90","76.92","87.77","76.50","1.20K","4.63%"
"01/01/2017","81.14","71.00","78.35","71.00","1.45K","12.69%"
"01/12/2016","72.00","70.20","78.35","68.70","2.43K","5.39%"
"01/11/2016","68.32","75.15","77.35","65.38","4.31K","13.04%"
"01/10/2016","60.44","54.01","54.05","54.01","1.66K","13.91%"
"01/09/2016","53.06","54.81","54.81","52.93","2.23K","-3.84%"
"01/08/2016","55.18","55.18","55.18","55.18","3.15K","-0.63%"
"01/07/2016","55.53","50.88","50.88","50.88","1.63K","7.33%"
"01/06/2016","51.74","51.74","51.74","51.74","1.53K","15.62%"
"01/05/2016","44.75","44.75","44.75","44.75","2.35K","-27.73%"
"01/04/2016","61.92","49.99","63.50","49.99","3.06K","22.74%"
"01/03/2016","50.45","47.95","53.55","47.55","4.12K","8.66%"
"01/02/2016","46.43","44.65","44.65","44.65","4.54K","13.08%"
"01/01/2016","41.06","39.00","39.00","38.50","5.92K","-0.05%"
"01/12/2015","41.08","36.31","41.01","36.31","2.33K","4.58%"
"01/11/2015","39.28","44.43","44.49","43.84","2.47K","-15.07%"
"01/10/2015","46.25","45.90","46.00","45.80","3.19K","-6.02%"
"01/09/2015","49.21","49.21","49.21","49.21","2.14K","-3.62%"
"01/08/2015","51.06","51.06","51.06","51.06","1.76K","0.61%"
"01/07/2015","50.75","50.75","45.80","45.85","2.14K","-3.48%"
"01/06/2015","52.58","52.58","52.58","52.58","2.52K","-7.75%"
"01/05/2015","57.00","57.00","57.00","57.00","2.01K","7.04%"
"01/04/2015","53.25","53.25","53.25","53.25","2.32K","5.80%"
