Year,Quarter_Label,PeriodEndDate,ReportType,Y_Cost_Per_Ton,Gross_Margin_Pct,Inventory_Turnover,Net_sales_millions,COGS_millions,Tons_Shipped_thousands,AccessionNumber,Cost_of_products_sold,Net_sales,Inventories_net,Tons_Shipped,Quarter,Inventories_Previous,Average_Inventory,Inventories_millions,QuarterEnd,X1_Scrap_Price,X2_Electricity_Price,X3_Natural_Gas_Price,X4_Diesel_Price,X5_Rail_Price,X7_Hourly_Wage,X10_Graphite_Price,X_PPI_All_Commodities,X9_US_Dollar_Index,X6_Disaster_Cost_Sum,X6_Disaster_Event_Count,X12_Economic_Policy_Uncertainty
2018,Q3,2018-09-29,10-Q,773.5601589103292,19.135439727258248,1.3234443305443038,6742.202,5452.052,7048.0,0001193125-18-320749,5452052000.0,6742202000.0,4105714000.0,7048000.0,3,4133472000.0,4119593000.0,4105.714,2018-09-30,214.2,7.056666666666668,2.93,3.237666666666667,193.5666666666667,27.21,315.4,203.76666666666665,113.64831587301587,34326.8,4.0,137.3838882446289
2018,Q4,2018-12-31,Calculated_Q4,1183.664962121212,0.7283493802422484,,6295.605,6249.751,5280.0,0001193125-19-057744,6249751000.0,6295605000.0,,5280000.0,4,4105714000.0,,,2018-12-31,214.46666666666667,6.7,3.803333333333333,3.2626666666666666,195.9,27.456666666666667,315.4,202.63333333333333,115.69885409836066,31218.8,1.0,175.87791442871094
2019,Q1,2019-03-30,10-Q,768.5432244717009,14.694886875096774,1.1699584363276754,6096.624,5200.732,6767.0,0001193125-19-141391,5200732000.0,6096624000.0,4445228000.0,6767000.0,1,4445228000.0,4445228000.0,4445.228,2019-03-31,210.73333333333332,6.6433333333333335,2.9166666666666665,3.017666666666667,196.0,27.683333333333334,315.76666666666665,199.7,114.5529559322034,24509.1,4.0,196.13563028971356
2019,Q2,2019-06-29,10-Q,761.5246876859012,13.15291454219871,1.175229776084008,5895.986,5120.492,6724.0,0001564590-19-029949,5120492000.0,5895986000.0,4268799000.0,6724000.0,2,4445228000.0,4357013500.0,4268.799,2019-06-30,205.16666666666663,6.9,2.563333333333333,3.123666666666667,198.26666666666665,27.876666666666665,289.9,201.36666666666667,115.4291453125,19523.2,6.0,159.5119654337565
2019,Q3,2019-09-28,10-Q,746.2991609458429,10.476910796262862,1.1729616965680136,5464.502,4891.991,6555.0,0001564590-19-040956,4891991000.0,5464502000.0,4072464000.0,6555000.0,3,4268799000.0,4170631500.0,4072.464,2019-09-30,201.4333333333333,7.1000000000000005,2.3833333333333333,3.022,198.4333333333333,28.11,249.7,199.4333333333333,116.4763265625,9370.1,3.0,225.6363728841146
2019,Q4,2019-12-31,Calculated_Q4,598.0590856997326,8.48031059994006,,5131.746,4696.558,7853.0,0001564590-20-007794,4696558000.0,5131746000.0,,7853000.0,4,4072464000.0,,,2019-12-31,197.6,6.489999999999999,2.4,3.059,198.7,28.316666666666663,229.5333333333333,198.86666666666667,116.41506229508197,2113.1,1.0,173.49888610839844
2020,Q1,2020-04-04,10-Q,695.0144705718659,11.188305394929216,1.2888538261271187,5624.337,4995.069,7187.0,0001564590-20-025117,4995069000.0,5624337000.0,3875590000.0,7187000.0,1,3875590000.0,3875590000.0,3875.59,2020-03-31,197.46666666666667,6.406666666666666,1.9066666666666665,2.895666666666667,199.9,28.57,230.73333333333332,196.36666666666667,117.75739516129032,8904.9,4.0,268.9085795084636
2020,Q2,2020-07-04,10-Q,720.8152947618179,8.734279480119964,1.089648175820489,4327.306,3949.347,5479.0,0001564590-20-039639,3949347000.0,4327306000.0,3373258000.0,5479000.0,2,3875590000.0,3624424000.0,3373.258,2020-06-30,193.36666666666667,6.88,1.7066666666666668,2.431,197.3,29.71333333333333,230.73333333333332,188.4333333333333,121.84220625,22412.6,8.0,401.7160746256511
2020,Q3,2020-10-03,10-Q,695.1099418878592,10.19072800915592,1.3342788745697691,4927.96,4425.765,6367.0,0001564590-20-053596,4425765000.0,4927960000.0,3260685000.0,6367000.0,3,3373258000.0,3316971500.0,3260.685,2020-09-30,189.66666666666663,6.93,1.9933333333333327,2.425666666666667,196.53333333333333,29.46666666666667,230.8,194.26666666666665,117.358425,78765.2,7.0,314.658203125
2020,Q4,2020-12-31,Calculated_Q4,791.2813708494466,-12.801733405292415,,5260.397,5933.819,7499.0,0001564590-21-009503,5933819000.0,5260397000.0,,7499000.0,4,3260685000.0,,,2020-12-31,198.26666666666665,6.406666666666666,2.526666666666667,2.4686666666666666,197.8,29.7,230.96666666666667,198.4333333333333,113.92367,10502.0,3.0,319.9976298014323
2021,Q1,2021-04-03,10-Q,751.7702062430324,23.12105786688024,1.2372825806250376,7017.14,5394.703,7176.0,0001564590-21-026758,5394703000.0,7017140000.0,4360122000.0,7176000.0,1,4360122000.0,4360122000.0,4360.122,2021-03-31,223.73333333333332,7.1433333333333335,3.56,2.893333333333333,201.53333333333333,30.01,188.76666666666665,210.13333333333333,112.37469166666666,42347.8,5.0,205.20377095540368
2021,Q2,2021-07-03,10-Q,844.1140069500134,28.14264246292366,1.3156432040756298,8789.164,6315.661,7482.0,0001564590-21-043479,6315661000.0,8789164000.0,5240750000.0,7482000.0,2,4360122000.0,4800436000.0,5240.75,2021-06-30,264.26666666666665,7.096666666666667,2.9433333333333334,3.2113333333333336,206.0666666666667,30.396666666666665,206.30000000000004,223.9,111.8373984375,24049.1,7.0,154.17587280273438
2021,Q3,2021-10-02,10-Q,963.0437813720024,33.028210482794755,1.2650711367269367,10313.223,6906.95,7172.0,0001564590-21-056213,6906950000.0,10313223000.0,5678715000.0,7172000.0,3,5240750000.0,5459732500.0,5678.715,2021-09-30,317.324,7.53,4.3566666666666665,3.357666666666667,209.33033333333333,30.80333333333333,190.49366666666663,233.64766666666665,113.3141390625,91407.3,6.0,170.22235616048175
2021,Q4,2021-12-31,Calculated_Q4,2349.060992138791,16.390481214047256,,10364.473,8665.686,3689.0,0001564590-22-007679,8665686000.0,10364473000.0,,3689000.0,4,5678715000.0,,,2021-12-31,351.6556666666667,7.206666666666667,4.773333333333333,3.66,213.08933333333331,31.27,191.295,241.6966666666667,114.9794786885246,6494.6,2.0,171.40892537434897
2022,Q1,2022-04-02,10-Q,1100.272599311855,32.95574254079896,1.1264016290302463,10493.282,7035.143,6394.0,0001564590-22-019391,7035143000.0,10493282000.0,6245679000.0,6394000.0,1,6245679000.0,6245679000.0,6245.679,2022-03-31,355.434,7.45,4.656666666666667,4.287,217.03266666666664,31.7,195.723,253.0423333333333,115.49977258064516,25981.1,3.0,174.9889678955078
2022,Q2,2022-07-02,10-Q,1102.2231618174,34.798185997951244,1.1992699157360558,11794.474,7690.211,6977.0,0001564590-22-028899,7690211000.0,11794474000.0,6579142000.0,6977000.0,2,6245679000.0,6412410500.0,6579.142,2022-06-30,364.3996666666667,8.803333333333333,7.48,5.4816666666666665,227.246,32.086666666666666,197.965,272.9373333333333,118.96322063492065,22411.3,9.0,170.69710795084634
2022,Q3,2022-10-01,10-Q,1193.6654715510522,27.077967250926243,1.213011540170246,10500.755,7657.364,6415.0,0001564590-22-037206,7657364000.0,10500755000.0,6046235000.0,6415000.0,3,6579142000.0,6312688500.0,6046.235,2022-09-30,348.70533333333333,8.963333333333333,7.990000000000001,5.164000000000001,231.7213333333333,32.446666666666665,222.1323333333333,269.906,123.53624375,125313.1,4.0,202.5210723876953
2022,Q4,2022-12-31,Calculated_Q4,1050.0274199267226,-1.8432189230708036,,8723.489,8884.282,8461.0,0001564590-23-002793,8884282000.0,8723489000.0,,8461000.0,4,6046235000.0,,,2022-12-31,321.8996666666667,8.273333333333333,5.546666666666667,5.06,231.52033333333333,32.833333333333336,237.81066666666663,262.03833333333336,124.82148032786884,14757.9,3.0,189.2291259765625
