Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Central, Southern, Southeastern Tornado Outbreak (May 2024)",Severe Storm,2024-05-06,2024-05-09,6571.0,6571.0,3
Southern Severe Weather (May 2024),Severe Storm,2024-05-11,2024-05-13,1124.0,1124.0,1
Southern Derecho (May 2024),Severe Storm,2024-05-16,2024-05-17,1551.0,1551.0,8
"Central, Southern, Eastern Severe Weather (May 2024)",Severe Storm,2024-05-18,2024-05-22,4907.8,4859.0,5
Central Tornado Outbreak (May 2024),Severe Storm,2024-05-25,2024-05-26,3466.4,3432.0,16
Texas Hail Storms (May 2024),Severe Storm,2024-05-27,2024-05-28,2348.3,2325.0,1
Colorado Hail Storms and Southern Severe Weather (May 2024),Severe Storm,2024-05-31,2024-06-01,3012.8,2983.0,0
Central and Eastern Severe Weather (June 2024),Severe Storm,2024-06-12,2024-06-14,1228.0,1228.0,0
Upper Midwest Flooding (June 2024),Flooding,2024-06-16,2024-06-23,1113.0,1113.0,4
Central and Northeast Severe Weather (June 2024),Severe Storm,2024-06-24,2024-06-26,1704.0,1704.0,3
New Mexico Wildfires (June 2024),Wildfire,2024-06-17,2024-07-07,1780.0,1780.0,2
Hurricane Beryl (July 2024),Tropical Cyclone,2024-07-08,2024-07-08,7219.0,7219.0,46
Central and Eastern Tornado Outbreak and Severe Weather (July 2024),Severe Storm,2024-07-13,2024-07-16,2435.0,2435.0,2
Hurricane Debby (August 2024),Tropical Cyclone,2024-08-05,2024-08-09,2476.0,2476.0,17
Hurricane Francine (September 2024),Tropical Cyclone,2024-09-11,2024-09-12,1291.0,1291.0,0
Hurricane Helene (September 2024),Tropical Cyclone,2024-09-24,2024-09-29,78721.0,78721.0,219
Hurricane Milton (October 2024),Tropical Cyclone,2024-10-09,2024-10-10,34250.0,34250.0,32
Southern/Eastern/Northwestern Drought and Heat Wave (2024),Drought,2024-01-01,2024-12-31,5417.0,5311.0,136
